Grade,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6
Basic,0,0,0,0,0,0
Grand,25,100,200,400,700,1000
Rare,100,250,500,1000,1750,2500
Arcane,250,625,1250,2500,4375,6250
Celestal,600,1550,3125,6250,10900,15625
Ascendant,2000,3875,7800,15625,27250,39000
Heroic,6000,11625,23400,46875,81750,117000
Mythic,18000,34875,70200,140625,245250,351000
Legendary,63000,122060,245700,492188,858375,1228500
Legendary Plus,252000,488240,982800,1968750,3433500,4914000
Legendary Max,1008000,1952960,3931200,7875000,13734000,19656000
