Grade,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6
Basic,0,0,0,0,0,0
Grand,75,300,600,1200,2000,3000
Rare,300,750,1500,3000,5000,7500
Arcane,750,1875,3750,7500,12500,18750
Celestal,1875,4750,7500,18750,31250,46875
Ascendant,6000,11875,18750,46875,78125,117500
Heroic,18000,35625,56250,140625,234375,352500
Mythic,63000,124700,196875,492200,820300,1233750
Legendary,220500,436450,689000,1722700,2871050,4318125
Legendary Plus,771750,1527575,2411500,6029450,10048675,15113440
Legendary Max,3087000,6110300,9646000,24117800,40194700,60453750
