name,price,type
Apprentice Anvil Armor,10000.0,Crafting T1
Apprentice Anvil Boots,3.0,Crafting T1
Apprentice Anvil Bracers,4.0,Crafting T1
Apprentice Anvil Helmet,1.0,Crafting T1
Apprentice Anvil Legs,14500.0,Crafting T1
Cheap Rug,4000.0,Housing Craft
Cloth Roll,1000.0,Housing Craft
Coarse Leather,667.0,Leather
Coarse Thread,600.0,Threads
Composed Saddle,30000.0,Moa Equipment
Copper Ingot,210.0,Materials
Cotton,249.0,Materials
Craftman's Cloth,1300.0,Cloth
Craftman's Leather,859.0,Leather
Craftman's Thread,859.0,Threads
Fry Cook Armor,17899.0,Crafting T1
Fry Cook Boots,12000.0,Crafting T1
Fry Cook Bracers,25000.0,Crafting T1
Fry Cook Helmet,18489.0,Crafting T1
Fry Cook Legs,12500.0,Crafting T1
Hide,400.0,Materials
Hide Armor,596.0,Armors T1
Hide Boots,1000.0,Armors T1
Hide Helmet,750.0,Armors T1
Hide Legs,682.0,Armors T1
Iron Ingot,3394.0,Materials
Loom Apprentice Armor,10000.0,Crafting T1
Loom Apprentice Boots,4000.0,Crafting T1
Loom Apprentice Gloves,23000.0,Crafting T1
Loom Apprentice Helmet,15800.0,Crafting T1
Loom Apprentice Legs,7000.0,Crafting T1
Nomad Armor,2449.0,Armors T1
Nomad Boots,1998.0,Armors T1
Nomad Helmet,1994.0,Armors T1
Nomad Legs,2344.0,Armors T1
Shadecloth Armor,388.0,Armors T1
Shadecloth Boots,550.0,Armors T1
Shadecloth Helmet,650.0,Armors T1
Shadecloth Legs,700.0,Armors T1
Simple Cloth,650.0,Cloth
Simple Saddle,6450.0,Moa Equipment
Small Sail Kit,169000.0,Ship Module
Spool of Hair,111.0,Materials
Thread Spool,4300.0,Housing Craft
Viper Boots,1993.0,Armors T1
Viper's Armor,1400.0,Armors T1
Viper's Helmet,1992.0,Armors T1
Viper's Legs,1994.0,Armors T1
Wool,430.0,Materials
Workshop Assistant Armor,16490.0,Crafting T1
Workshop Assistant Boots,8800.0,Crafting T1
Workshop Assistant Gloves,18000.0,Crafting T1
Workshop Assistant Helmet,17990.0,Crafting T1
Workshop Assistant Legs,9000.0,Crafting T1
,,
